hands,jump,aerobic,cubes,abs,aerobic_walking,plank,push_up_full,push_all_half,grade
28,285,5.55,8.8,97,13.3,,,,100
27,283,5.58,8.8,96,13.3,,,,99
27,281,6.01,8.9,95,13.4,,,,98
26,279,6.05,8.9,94,13.4,,,,97
26,277,6.09,8.9,93,14.5,,,,96
25,275,6.13,9,92,14.5,,,,95
25,273,6.17,9,91,14,,,,94
24,271,6.22,9,90,14,,,,93
24,269,6.27,9.1,89,14.1,,,,92
23,267,6.32,9.1,88,14.2,,,,91
23,265,6.37,9.1,87,14.3,,,,90
22,263,6.41,9.2,85,14.4,,,,89
21,261,6.49,9.2,84,14.5,,,,88
20,259,6.55,9.2,83,15,,,,87
20,257,7.01,9.3,82,15,,,,86
19,255,7.07,9.3,81,15.1,,,,85
18,253,7.13,9.4,80,15.1,,,,84
18,251,7.19,9.4,78,15.2,,,,83
17,248,7.25,9.5,77,15.2,,,,82
16,248,7.31,9.5,76,15.3,,,,81
15,244,7.37,9.6,75,15.3,,,,80
15,242,7.43,9.6,74,15.4,,,,79
14,240,7.49,9.7,73,15.4,,,,78
13,238,7.55,9.7,71,15.5,,,,77
13,236,8.02,9.8,70,15.5,,,,76
12,234,8.08,9.8,69,16,,,,75
12,232,8.14,9.9,68,16.1,,,,74
11,230,8.2,9.9,67,16.2,,,,73
11,228,8.26,10,65,16.3,,,,72
10,226,8.32,10,64,16.4,,,,71
10,224,8.38,10.1,63,16.5,,,,70
9,222,8.44,10.2,62,17,,,,69
9,220,8.5,10.2,61,17,,,,68
8,218,8.56,10.3,60,17.1,,,,67
8,216,9.02,10.3,58,17.1,,,,66
8,214,9.08,10.4,57,17.2,,,,65
7,212,9.14,10.4,56,17.2,,,,64
7,210,9.21,10.5,55,17.3,,,,63
6,208,9.27,10.5,54,17.3,,,,62
6,206,9.33,10.6,53,17.4,,,,61
6,204,9.39,10.7,51,17.4,,,,60
5,202,9.45,10.7,50,18,,,,59
5,200,9.51,10.8,49,18,,,,58
4,198,9.57,10.8,48,18.2,,,,57
4,196,10.03,10.9,47,18.4,,,,56
4,194,10.09,10.9,46,18.4,,,,55
3,192,10.15,11,44,18.4,,,,54
3,190,10.21,11,43,18.4,,,,53
2,188,10.27,11.1,42,18.4,,,,52
2,185,10.34,11.2,41,18.4,,,,51
2,183,10.4,11.2,40,19,,,,50
1,181,10.46,11.3,39,19,,,,49
1,179,10.52,11.3,37,19,,,,48
1,177,10.58,11.4,36,19,,,,47
1,175,11.04,11.4,35,19,,,,46
1,173,11.1,11.5,34,19,,,,45
1,171,11.16,11.5,33,19,,,,44
1,169,11.22,11.6,32,19,,,,43
1,167,11.28,11.7,31,19,,,,42
1,165,11.34,11.7,30,19,,,,41
1,163,11.4,11.8,30,19,,,,40
1,161,11.46,11.8,29,19,,,,39
1,159,11.53,11.9,29,19,,,,38
1,157,11.59,11.9,28,19,,,,37
1,155,12.05,12,28,19,,,,36
1,153,12.11,12,27,19,,,,35
